UI_20150317_000100	{@st59}Grupo (/p){/}
UI_20150317_000101	{@st59}Privado (/w Nome do time + O que você deseja dizer){/}
UI_20150317_000102	{@st59}Ajustar janela de chat{/}
UI_20150317_000103	{@st43}{s22}Chat Macro{/}
UI_20150317_000104	{@st43}Macro{/}
UI_20150317_000105	{@st59b}Macro {nl} {@st59s} - Como usar: {nl} 1. Arraste o ícone de gesticulação para qualquer espaço de gesticulação na parte de baixo. {nl} 2. Escreva a frase e salve. {nl} 3. Use a tecla de atalho para usar simultaneamente a frase e fazer a gesticulação. {/}
UI_20150317_000106	{@st59}Fechar{/}
UI_20150317_000107	{@st41b}Salvar {/}
UI_20150317_000108	{@st59}Salvar alterações{/}
UI_20150317_000109	{@st41b}Cancelar {/}
UI_20150317_000110	{@st59}Cancelar alterações{/}
UI_20150317_000111	{@st42}Configurações de Chat 
UI_20150317_000112	{@st42}Transparência
UI_20150317_000113	Mostrar balão de chat
UI_20150317_000114	Mostrar discussões na parte de cima
UI_20150317_000115	{@st43}Lista de Trapaças{/}
UI_20150317_000116	{@st42b}Item{/}
UI_20150317_000117	{@st42b}Monstro{/}
UI_20150317_000118	{@st42b}Mover mapa{/}
UI_20150317_000119	{@st42b}Ordem de Combate{/}
UI_20150317_000120	{@st41b}Fechar{/}
UI_20150317_000121	{s16}{b}Criar itens clicando no botão Criar ou clicando duas vezes.
UI_20150317_000122	{s16}{b}ea
UI_20150317_000123	{s16}{b}Nv.
UI_20150317_000124	{@st41b}Procurar{/}
UI_20150317_000125	{s16}{b}Invocar monstros clicando no botão Criar ou clicando duas vezes.
UI_20150317_000126	{s16}{b}ea
UI_20150317_000127	{s16}{b}Selecionar uma área desejada.
UI_20150317_000128	{s18}{b}Exibir Minimapa{/}
UI_20150317_000129	{@st41b}Lista de Ferramentas{/}
UI_20150317_000130	{@st59b}Coleção {nl}{@st59s}- Compre o Deck de Coleção para adicionar os itens colecionáveis à sua coleção. {nl} - A tecla de atalho de coleção será ativada ao usar o Item do Deck de Coleção. {nl} {/}
UI_20150317_000131	{@st59}Fechar{/}
UI_20150317_000132	{@st43}Coleção{/}
UI_20150317_000133	{@st43}Spray de Cor{/}
UI_20150317_000134	{@st49}Spray de Cor{/}
UI_20150317_000135	{@st49}Cor{/}
UI_20150317_000136	{@st49}Restante{/}
UI_20150317_000137	{@st49}Pincel{/}
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}Desenhar{/}{/}
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}Salvar{/}{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}Importar{/}{/}
UI_20150317_000141	{@st49}Fechar{/}
UI_20150317_000142	{@st43}Adotar Mascote
UI_20150317_000143	{@st59}Digite o nome do seu novo Mascote adotado {/}
UI_20150317_000144	{@st41b}Nome{/}
UI_20150317_000145	{@st41b}Preço %s{/}
UI_20150317_000146	{@st59}Fechar{/}
UI_20150317_000147	{@st41b}Adotar
UI_20150317_000148	{@st59}Confirmar{/}
UI_20150317_000149	{@st43}Companion Shop
UI_20150317_000150	{@st59}Fechar{/}
UI_20150317_000151	{@st43}Outras Info. de Personagem{/}{@st42}
UI_20150317_000152	{@st59}Fechar{/}
UI_20150317_000153	{@st41b}Informações
UI_20150317_000154	{@st41b}Registro
UI_20150317_000155	Nome da Equipe
UI_20150317_000156	Nome do Personagem
UI_20150317_000157	Círculo {#ffff00}%s{/} %s Nv {#ffff00}%s{/}
UI_20150317_000158	Guerreiro
UI_20150317_000159	Índice de Aventura {#ffff00}%s{/} (Classificação{#ffff00}%s{/}/%s)
UI_20150317_000160	Índice de Aventura {#ffff00}%s{/} ({#ffff00}Sem classificação{/})
UI_20150317_000161	Total de Conquistas: {#ffff00}%s{/}
UI_20150317_000162	Configurações
UI_20150317_000163	Remova o título da guia para excluí-la.
UI_20150317_000164	{@st49}Tudo{/}
UI_20150317_000165	{@st49}Sistema{/}
UI_20150317_000166	{@st49}Falar{/}
UI_20150317_000167	{@st49}Combate{/}
UI_20150317_000168	{@st49}Item{/}
UI_20150317_000169	{@st43}Créditos{/}
UI_20150317_000170	{@st43}Configurações de Travar-Alvo {/}
UI_20150317_000171	Nome de NPC
UI_20150317_000172	Comparação
UI_20150317_000173	Ilustração
UI_20150317_000174	Selecionar conversa
UI_20150317_000175	Ajuda de Texto
UI_20150317_000176	{@st41}Construir Item{/}
UI_20150317_000177	{@st45tw2}Criando o item...
UI_20150317_000178	%r seconds
UI_20150317_000179	{@st41}Cancelar{/}
UI_20150317_000180	{@st45tw2}Quantidade{/}
UI_20150317_000181	{@st45tw2}Você quer criar este item?
UI_20150317_000182	{@st41}Confirmar{/}
UI_20150317_000183	Informações da Quest
UI_20150317_000184	{@st59}Cancelar Negociação{/}
UI_20150317_000185	{@st43}Negociação Pessoal{/}
UI_20150317_000186	Minha Lista de Negociações
UI_20150317_000187	Prata: %s
UI_20150317_000188	Entrar
UI_20150317_000189	{@st41}Aceitar
UI_20150317_000190	{@st41}Confirmar
UI_20150317_000191	Lista de Negociações do Outro Jogador(%s)
UI_20150317_000192	Nome do Outro Jogador
UI_20150317_000193	{s18}{ol} {gr gradation1}Evento de Campo{/}
UI_20150317_000194	{s20}{ol}Derrote a Tribo Vubbe! Você quer participar?
UI_20150317_000195	{s20}{ol}%s Você quer participar?
UI_20150317_000196	{s20}{ol}Participantes: (1/5)
UI_20150317_000197	{s20}{ol}Participantes: (%s/%s)
UI_20150317_000198	{s20}{ol}O jogo vai começar em 1 segundo.
UI_20150317_000199	{s20}{ol}O jogo vai começar em %s segundos.
UI_20150317_000200	Não mostrar mais isso hoje.
UI_20150317_000201	Não mostrar Eventos de Campo.
UI_20150317_000202	Participar do Jogo
UI_20150317_000203	Iniciar um jogo com outros jogadores.
UI_20150317_000204	Recusar convite de jogo.
UI_20150317_000205	Pré-ajustes de Spray
UI_20150317_000206	{@st49}Selecionar{/}
UI_20150317_000207	{@st49}Cancelar{/}
UI_20150317_000208	{@st49}Excluir{/}
UI_20150317_000209	Digite o nome de arquivo para salvar.
UI_20150317_000210	{@st43}Amigos
UI_20150317_000211	{@st59}Fechar{/}
UI_20150317_000212	{@st59b}Amigos{nl}{@st59s} - Fazer amizade com outros jogadores. {nl} - Você pode conferir a situação dos amigos na guia Lista de Amigos. {nl} - Na guia Gerenciar, você pode convidar, recusar ou bloquear amigos. {/}
UI_20150317_000213	{@st41b}Mostrar amigos online{/}
UI_20150317_000214	{@st41b}Lista
UI_20150317_000215	{@st41b}Gerenciar
UI_20150317_000216	{@st41b}Enviar Solicitação de Amizade
UI_20150317_000217	{@st41b}Bloquear
UI_20150317_000218	{@st59}Procurar{/}
UI_20150317_000219	{@st44}Guilda{/}
UI_20150317_000220	Guilda
UI_20150317_000221	Lista
UI_20150317_000222	Novidades
UI_20150317_000223	Missão da Guilda
UI_20150317_000224	Integrantes Online
UI_20150317_000225	{@st44}Criar Guilda{/}
UI_20150317_000226	{@st42}Criar{/}
UI_20150317_000227	{@st42}Fechar{/}
UI_20150317_000228	{@st42}Tudo{/}
UI_20150317_000229	{@st42}Classificações do Dia{/}
UI_20150317_000230	{@st42}Classificações da Semana{/}
UI_20150317_000231	{@st56}Classificação {/}
UI_20150317_000232	{@st56}Pontos{/}
UI_20150317_000233	{@st56}Classe{/}
UI_20150317_000234	{@st56}Nome {/}
UI_20150317_000235	Página Anterior
UI_20150317_000236	Próxima Página
UI_20150317_000237	{@st42}Procurar ID{/}
UI_20150317_000238	Digite o ID para procurar
UI_20150317_000239	Fechar o Hall da Fama
UI_20150317_000240	Digite o ID para procurar
UI_20150317_000241	{@st59} Vigor {/}
UI_20150317_000242	{@st43}Lista de Ajuda{/}
UI_20150317_000243	{@st59}Fechar Lista de Ajuda{/}
UI_20150317_000244	{@st59b}Lista de Ajuda{nl}{@st59s} - Se precisar de ajuda com qualquer coisa, leia sempre os Tópicos de Ajuda. {nl} - Selecione um tópico para ver mais informações. {/}
UI_20150317_000245	{@st43}{s22}Ajuda{/}
UI_20150317_000246	{@st47_b}{b}Tópicos de Ajuda{/}
UI_20150317_000247	{@st42b}Conteúdo de Ajuda Simples{/}
UI_20150317_000248	{@st59}Exibir detalhes{/}
UI_20150317_000249	Digite a quantidade
UI_20150317_000250	{@st59}Digite o conteúdo{/}
UI_20150317_000251	{@st41b}Confirmar
UI_20150317_000252	{@st59}Confirmar {/}
UI_20150317_000253	{@st41b}Fechar
UI_20150317_000254	{@st59}Cancelar {/}
UI_20150317_000255	{@st43}Teleporte{/}
UI_20150317_000256	{@st59}Fechar Teleporte{/}
UI_20150317_000257	{@st59b}Teleporte{nl}{@st59s} - Permite viajar rapidamente para regiões que você já visitou. {nl} - O recurso é ativado quando 2 ou mais pontos de teleporte estão disponíveis. {nl} {/}
UI_20150317_000258	{@st41}Local Atual: %s{/}
UI_20150317_000259	{@st43}{s22}Teleporte{/}
UI_20150317_000260	{@st41b}Você quer ir para essa área?{/}
UI_20150317_000261	Que tal Siauliai
UI_20150317_000262	Consumo de Moedas: 0
UI_20150317_000263	Introdução
UI_20150317_000264	{@st43}Inventário{/}
UI_20150317_000265	{@st59}Fechar{/}
UI_20150317_000266	{@st59b}Equipamento {nl} {@st59s}- Penteado/Traje: Equipamento para mudar a aparência dos personagens. {nl} - Arma: Pode usar armas de uma ou duas mãos {nl} (pode usar sub-arma/escudo com arma de uma mão) {nl} - Armadura: Parte de Cima, Calças, Luvas, Calçados. {nl} - Acessórios: Pode equipar 1 Colar e 2 Braceletes. {nl} {/}
UI_20150317_000267	{@st59}Enfeite de cabelo 1{/}
UI_20150317_000268	{@st59}Enfeite de cabelo 2{/}
UI_20150317_000269	{@st59}Colar{/}
UI_20150317_000270	{@st59}Traje{/}
UI_20150317_000271	{@st59}Parte de Cima{/}
UI_20150317_000272	{@st59}Luvas{/}
UI_20150317_000273	{@st59}Calças{/}
UI_20150317_000274	{@st59}Sapatos{/}
UI_20150317_000275	{@st59}Mão Esquerda{/}
UI_20150317_000276	{@st59}Mão Direita{/}
UI_20150317_000277	{@st59}Bracelete 1{/}
UI_20150317_000278	{@st59}Bracelete 2{/}
UI_20150317_000279	{@st59}Braçadeira{/}
UI_20150317_000280	{@st59}Procurar{/}
UI_20150317_000281	Peso
UI_20150317_000282	{@st43}Bônus de Equipamento{/}
UI_20150317_000283	{@st59}Fechar IU de Consertar Item{/}
UI_20150317_000284	{@st42}Disponível para Bônus
UI_20150317_000285	{@st42}Consome{/}
UI_20150317_000286	{@st42}Executar
UI_20150317_000287	{@st42}Item Visado{/}
UI_20150317_000288	{@st59}Anel 1{/}
UI_20150317_000289	{@st43}Construir Item{/}
UI_20150317_000290	{@st42b}Mostrar itens craftáveis{/}
UI_20150317_000291	{@st59}Fechar{/}
UI_20150317_000292	{@st43}{s22}Dividir Item
UI_20150317_000293	{@st59}Digite a quantidade{/}
UI_20150317_000294	Barra de HP de Monstro
UI_20150317_000295	{@st44}Item de Conjunto adquirido{/}
UI_20150317_000296	Guerreiro do Teclado
UI_20150317_000297	Mortes
UI_20150317_000298	99 minutos 99 segundos
UI_20150317_000299	38.000 pontos
UI_20150317_000300	Poção de Melhoria de Velocidade
UI_20150317_000301	{@st41}Confirmar{/}
UI_20150317_000302	{@st59b} Diário de Aventura {nl}{@st59s}- Seu progresso no jogo é registrado no Diário de Aventura. {nl} - Você pode melhorar seu Índice de Aventura por meio de ações como: obter itens, caçar monstros, confeccionar e explorar o mapa.{nl}    Índice de Aventura: O total de todos os seus índices. {nl}    Desenvolvimento: 5 pontos pelos níveis de personagem e classe {nl}    Itens: Equipamento: categoria X 10 pontos, Livros: 10 pontos, Outros: 1 ponto {nl}    Monstros: 10 pontos por monstro (50 pontos por Monstro Chefe) {nl}    Mapas: 1 ponto por 10% explorado {nl}    Quests: 1 ponto por quest {nl}    Conquistas: Varia pela conquista {nl}    Confecção: 10 pontos {nl}    Coleção: 5 pontos por um deck e 45 pontos ao concluir {nl} - Dependendo do seu Índice de Aventura, você pode receber recompensas especiais de um NPC na cidade. {/}
UI_20150317_000303	{@sti7}{s22}{ds}Conquistas{/}
UI_20150317_000304	{@st42b}{#22FF22} Melhor 10% / %s Pontos{/}
UI_20150317_000305	{@st42b} Média / %s Pontos {/}
UI_20150317_000306	1º / %s Pontos
UI_20150317_000307	Classificação %s
UI_20150317_000308	%s Pontos
UI_20150317_000309	Profissão
UI_20150317_000310	Time
UI_20150317_000311	{@st59}Fechar{/}
UI_20150317_000312	{@st43}Diário de Aventuras: Ranking{/}
UI_20150317_000313	{@st43}{s22}Rank   
UI_20150317_000314	{@st43}{s22}Nome
UI_20150317_000315	{@st43}{s22}Pontuação
UI_20150317_000316	{@st41}Detalhes{/}
UI_20150317_000317	{@st43}Iniciar Confecção{/}
UI_20150317_000318	{@st59}Iniciar confecção de item.{/}
UI_20150317_000319	{@st44}Teclado Numérico{/}
UI_20150317_000320	{@st42}Limite de tempo
UI_20150317_000321	{@st56}Abate{/}
UI_20150317_000322	{@st56}Overkil{/}
UI_20150317_000323	{@st56}Tiro{/}
UI_20150317_000324	{@st56}Morte{/}
UI_20150317_000325	Poder de Feitiço
UI_20150317_000326	Defesa
UI_20150317_000327	Resistência Mágica
UI_20150317_000328	Taxa de Ataque Crítico
UI_20150317_000329	{@st43}Soquete{/}
UI_20150317_000330	{@st59}Fechar{/}
UI_20150317_000331	Insira os itens
UI_20150317_000332	Potencial
UI_20150317_000333	Soquete Adicional : {#ff9933}%s{/}{nl}Extrair Gema : {#ff9933}%s{/}
UI_20150317_000334	{@st41b}Add Soquete
UI_20150317_000335	{@st41b}Extrair Gema
UI_20150317_000336	{@st41}Criar{/}
UI_20150317_000337	{@st41}%s %s ea
UI_20150317_000338	Mapa da Área
UI_20150317_000339	Área Explorada: 95,5%
UI_20150317_000340	{@st45tw}Área Explorada %s% {/}
UI_20150317_000341	{@st59}Fechar mapa (M){/}
UI_20150317_000342	{@st41}Mapa{/}
UI_20150317_000343	Shift(remover), Ctrl(encher metade)
UI_20150317_000344	{ol}Título
UI_20150317_000345	{@st41}Adicionar{/}
UI_20150317_000346	{@st41}Excluir{/}
UI_20150317_000347	{@st41}Salvar{/}
UI_20150317_000348	{@st41}Automático{/}
UI_20150317_000349	{@st41}Restaurar{/}
UI_20150317_000350	{@st59}Definir quantidade.{/}
UI_20150317_000351	{ol}Grupo
UI_20150317_000352	{ol}Mensagem
UI_20150317_000353	{ol}Som
UI_20150317_000354	{@st41}Criar Minimapa{/}
UI_20150317_000355	{@st55}Mapa da Área
UI_20150317_000356	{@st43}{s22}Mercado{/}
UI_20150317_000357	{@st43}{s24}Mercado{/}
UI_20150317_000358	{@st42b}Filtro{/}
UI_20150317_000359	{@st42b}Tipo{/}
UI_20150317_000360	{@st42b}Req. Nv{/}
UI_20150317_000361	{@st42b}Melhorar Nv{/}
UI_20150317_000362	{@st42b}Nome
UI_20150317_000363	{@st41b}Receber %s
UI_20150317_000364	{@st41b}Vender
UI_20150317_000365	{@st41b}Procurar
UI_20150317_000366	{@st59}Fechar{/}
UI_20150317_000367	{@st42b}Sort
UI_20150317_000368	{@st41b}Purchase
UI_20150317_000369	{@st43}{s22}Receber
UI_20150317_000370	{@st41b}Receber Tudo
UI_20150317_000371	{@st41b}Receber
UI_20150317_000372	{@st43}{s22}Vender
UI_20150317_000373	{@st42b}Quantidade
UI_20150317_000374	{@st42b}Preço
UI_20150317_000375	{@st42b}Ocultar Nome do Vendedor{/}
UI_20150317_000376	{@st41b}Adicionar
UI_20150317_000377	Moeda Quadrada
UI_20150317_000378	Alguém matou alguém
UI_20150317_000379	{@st43}Minijogos{/}
UI_20150317_000380	{@st49}Disparar Catapulta{/}
UI_20150317_000381	{@st44}Controlar direção{/}
UI_20150317_000382	{@st44}Disparar{/}
UI_20150317_000383	Minijogo
UI_20150317_000384	{s18}{ol}{gr gradation1}Minijogo de esconde-esconde{/}
UI_20150317_000385	{s16}Você quer participar do minijogo?
UI_20150317_000386	{s16}Participantes: (0/5)
UI_20150317_000387	{s16}Participantes: (%s /%s)
UI_20150317_000388	{s16}O jogo vai começar em 1 segundo.
UI_20150317_000389	{s16}O jogo vai começar em %s segundos.
UI_20150317_000390	{@st59}Aproximar{/}
UI_20150317_000391	{@st59}Afastar{/}
UI_20150317_000392	{@st59}Mapa (M){/}
UI_20150317_000393	{@st42b}Mapa da Área
UI_20150317_000394	{@st44}Sintetizador de Item{/}
UI_20150317_000395	{s16}{#FFcc66}{ol}Selecione o item que deseja criar{/}{/}
UI_20150317_000396	{s16}{#FFcc66}{ol}Arraste os ingredientes até os espaços
UI_20150317_000397	{@st42}Criar{/}
UI_20150317_000398	{@st42} Cancelar {/}
UI_20150317_000399	Informações de %s
UI_20150317_000400	Kepa ou ...
UI_20150317_000401	{@st41}{Details}
UI_20150317_000402	{s20}{#050505}Descrição do Monstro Descrição do Monstro Descrição do Monstro Descrição do Monstro
UI_20150317_000403	{@st41} Abate {/}
UI_20150317_000404	{@st41} Overkill {/}
UI_20150317_000405	{@st41} Abate Normal {/}
UI_20150317_000406	{@st41} Área {/}
UI_20150317_000407	{@st41} Item {/}
UI_20150317_000408	{@st41} Conquista {/}
UI_20150317_000409	Objeto
UI_20150317_000410	{@st43}Necronomicon{/}
UI_20150317_000411	{@st59}Fechar IU do Necronomicon{/}
UI_20150317_000412	{@st59}Não quero nem pensar.{/}
UI_20150317_000413	Criatura Invocada: {#ffcc33}%s{/}
UI_20150317_000414	Morto-Vivo Feliz
UI_20150317_000415	Habilidade: %s
UI_20150317_000416	Habilidade 1, Habilidade 2
UI_20150317_000417	Fragmentos necessários: %s
UI_20150317_000418	Animal 60 / Inseto 20/ Mutante 10
UI_20150317_000419	Quantidade de Fragmentos
UI_20150317_000420	Pedaços 1
UI_20150317_000421	Pedaços 2
UI_20150317_000422	Pedaços 3
UI_20150317_000423	Parabéns! Você subiu de nível.
UI_20150317_000424	Alerta de Item
UI_20150317_000425	{@st64}Detalhes{/}
UI_20150317_000426	Como Jogar
UI_20150317_000427	{@st42b}          Mover uma vez com cada uma das teclas{/}
UI_20150317_000428	{@st42b}         Realizar um ataque básico{/}
UI_20150317_000429	{@st42b}                Saltar{/}
UI_20150317_000430	{@st42b}  Pressione 2 teclas direcionais para se mover na diagonal.{/}
UI_20150317_000431	Ferramenta de Mapa de Névoa
UI_20150317_000432	Ferramenta para matar monstros
UI_20150317_000433	Ferramenta para criar um minimapa
UI_20150317_000434	Ferramenta de diálogo
UI_20150317_000435	{@st43}Configurações de GM{/}
UI_20150317_000436	{@st59}Fechar Informações do Grupo{/}
UI_20150317_000437	{@st59b}Informações do Grupo{nl}{@st59s} - Clique no botão Criar Grupo na parte de baixo para iniciar um grupo. {nl} - Clique com o botão direito em outros jogadores pra enviar um convite de grupo. {nl} - Você pode fazer mudanças no grupo acessando a guia Configurações. {nl} - Defina condições específicas de procura para integrantes do grupo na lista de Grupo Público.{/}
UI_20150317_000438	{@st43}Informações do Grupo{/}
UI_20150317_000439	{@st41b}Integrantes{/}
UI_20150317_000440	{@st41b}Evento de Grupo {/}
UI_20150317_000441	{@st41b}Configurações{/}
UI_20150317_000442	{@st41}Integrantes{/}
UI_20150317_000443	{@st41}Requisitos para participar do grupo
UI_20150317_000444	{@st41b}Público
UI_20150317_000445	{@st41b}Privado
UI_20150317_000446	Nível Necessário ~
UI_20150317_000447	{@st41}Distribuição de Itens
UI_20150317_000448	{@st41b}Livre para Todos
UI_20150317_000449	{@st41b}Todos contra Todos
UI_20150317_000450	{@st41b}Aleatório
UI_20150317_000451	{@st41}Distribuição de EXP
UI_20150317_000452	{@st41b}EXP Individual
UI_20150317_000453	{@st41b}Exp Igual
UI_20150317_000454	{@st41b}Por Level
UI_20150317_000455	{@st41}Compartilhar Quest
UI_20150317_000456	{@st41b}Ativar
UI_20150317_000457	{@st41b}Desativado
UI_20150317_000458	{@st41b}Criar Grupo
UI_20150317_000459	{@st43}Lista de Grupos Públicos {/}
UI_20150317_000460	{@st59b}Lista de Grupos Públicos{nl}{@st59s} - Procure pelo grupo que deseja participar vendo os grupos abertos em seu servidor {nl} - Use a opção Procurar para achar o grupo de sua preferência{/}
UI_20150317_000461	{@st59}Fechar Lista de Grupo{/}
UI_20150317_000462	Usar procurar
UI_20150317_000463	Quest Compartilhada
UI_20150317_000464	Distribuição de EXP 
UI_20150317_000465	Distribuição de Item
UI_20150317_000466	{@st43}Convidar
UI_20150317_000467	{@st41b}Convidar{/}
UI_20150317_000468	{s18}{ol}{gr gradation1}Regras de Logout do PC{/}
UI_20150317_000469	{ol}Condições para a aplicação de regras
UI_20150317_000470	{ol}Ação para a aplicação de regras
UI_20150317_000471	Digite o nome da regra
UI_20150317_000472	{Gr gradation1}Registro{/}
UI_20150317_000473	Registrar Regras
UI_20150317_000474	{Gr gradation1}Cancelar{/}
UI_20150317_000475	Cancelar Ação
UI_20150317_000476	{@st43}Info. do Mascote
UI_20150317_000477	{@st59b} Info. do Mascote{nl}{@st59s} - Você pode definir o companheiro como Ativo ou em Modo Descanso usando o botão abaixo. {nl} - Os atributos e itens usados pelo companheiro podem ser personalizados. {/}
UI_20150317_000478	{@st59}Fechar Info. do Mascote{/}
UI_20150317_000479	{@st41b}Nome: {@sti9}%s{/}
UI_20150317_000480	{@sti9}%s{@st41b}Proximidade: {@sti9}%s {@st41b}Nível{/}
UI_20150317_000481	{@st41b}EXP{/}
UI_20150317_000482	{@st41b}Stamina{/}
UI_20150317_000483	{@st41b}Afinidade{/}
UI_20150317_000484	{@st41b}Atributos e Informações
UI_20150317_000485	{@st43}Mascote{/}
UI_20150317_000486	{@st59b}Mascote{nl}{@st59s} - Clique em um item da lista para ver mais informações. {/}
UI_20150317_000487	{@st59}Fechar{/}
UI_20150317_000488	{@st59}Fechar{/}
UI_20150317_000489	{@st59}Ajuda{nl} - Exibe informações e dicas detalhadas. {nl} - Exibe outros tópicos da Lista de Ajuda{/}
UI_20150317_000490	{@st43}Ajuda{/}
UI_20150317_000491	Tópicos de Ajuda
UI_20150317_000492	{ol}{#AAAA00}{s16}Tempo Transcorrido: %s
UI_20150317_000493	{@st43}Pote de Veneno{/}
UI_20150317_000494	{@st59}Fechar IU do Pote de Veneno{/}
UI_20150317_000495	{@st59}Necessário para escrever{/}
UI_20150317_000496	Quantidade de veneno: %s
UI_20150317_000497	Itens que podem ser usados para Confeccionar veneno
UI_20150317_000498	Selecionar Tudo
UI_20150317_000499	Clique novamente para desmarcar
UI_20150317_000500	Confeccionando
UI_20150317_000501	remexer, remexer, misturar e remexer
UI_20150317_000502	{@st43}Categoria{/}
UI_20150317_000503	{@st43}Eu{/}
UI_20150317_000504	{@st43}Alvo{/}
